mot_clé,définition
Mémoire de travail,Définition simulée de 'Mémoire de travail' pour test local.
Synapse,Définition simulée de 'Synapse' pour test local.
Mémoire flash,Définition simulée de 'Mémoire flash' pour test local.
Encodage,Définition simulée de 'Encodage' pour test local.
Cache,Définition simulée de 'Cache' pour test local.
Neuroplasticité,Définition simulée de 'Neuroplasticité' pour test local.
RAM,Définition simulée de 'RAM' pour test local.
Rétropropagation,Définition simulée de 'Rétropropagation' pour test local.
Apprentissage profond,Définition simulée de 'Apprentissage profond' pour test local.
Mémoire autobiographique,Définition simulée de 'Mémoire autobiographique' pour test local.
